Transaction_Type,Property_Type,Municipality,Neighborhood,Price,Land_Area,Construction_Area,Price_per_SqMeter_Land,Price_per_SqMeter_Construction
Rental,Departamento,GUADALAJARA,OBRERA,28500.0,,,,
Rental,Departamento,GUADALAJARA,,35000.0,,,,
Rental,Departamento,ZAPOPAN,LA PALMITA,15000.0,,,,
Rental,Departamento,GUADALAJARA,,26500.0,,,,
Rental,Casa,TLAJOMULCO,LOS GAVILANES,35000.0,,,,
Rental,Departamento,ZAPOPAN,LOMAS ALTAS,31500.0,,,,
Rental,Casa,GUADALAJARA,PROVIDENCIA 4a SECCION,39950.0,,,,
Rental,Casa,GUADALAJARA,LA PERLA,15000.0,,,,
Rental,Departamento,ZAPOPAN,JARDINES DE GUADALUPE,17500.0,,,,
Rental,Departamento,GUADALAJARA,,25000.0,,,,
Rental,Departamento,GUADALAJARA,PROVIDENCIA,32500.0,,,,
Rental,Departamento,GUADALAJARA,,19500.0,,,,
Rental,Casa,TONALA,EL ROSARIO,3500.0,,,,
Rental,Departamento,GUADALAJARA,PRADOS PROVIDENCIA,24000.0,,,,
Rental,Departamento,ZAPOPAN,,23000.0,,,,
Rental,Departamento,GUADALAJARA,PROVIDENCIA,33000.0,,,,
Rental,Casa,GUADALAJARA,JARDINES DEL BOSQUE,27000.0,,,,
Rental,Departamento,TLAJOMULCO,,8500.0,,,,
Rental,Casa,ZAPOPAN,LOMAS DEL VALLE,38300.0,,,,
Rental,Departamento,ZAPOPAN,LA PALMITA,15000.0,,,,
Rental,Departamento,GUADALAJARA,COUNTRY CLUB,85000.0,,,,
Rental,Departamento,GUADALAJARA,INDEPENDENCIA,6600.0,,,,
Rental,Departamento,ZAPOPAN,,6000.0,,,,
Rental,Casa,ZAPOPAN,,12000.0,,,,
Rental,Departamento,ZAPOPAN,,34500.0,,,,
Rental,Departamento,GUADALAJARA,,28500.0,,,,
Rental,Departamento,GUADALAJARA,LOMAS DE GUEVARA,39000.0,,,,
Rental,Casa,ZAPOPAN,,45000.0,,,,
Rental,Casa,ZAPOPAN,PUERTA DE HIERRO,95000.0,,,,
Rental,Casa,ZAPOPAN,,32000.0,,,,
Rental,Departamento,ZAPOPAN,VALLE REAL,23000.0,,,,
Rental,Casa,ZAPOPAN,VALLE IMPERIAL,23800.0,,,,
Rental,Casa,GUADALAJARA,ALCALDE BARRANQUITAS,13000.0,,,,
Rental,Casa,ZAPOPAN,JARDINES DE LA MAGDALENA,7500.0,,,,
Rental,Departamento,ZAPOPAN,VALLE REAL,32000.0,,,,
Rental,Casa,ZAPOPAN,VALLE IMPERIAL,23000.0,,,,
Rental,Departamento,TLAQUEPAQUE,,11000.0,,,,
Rental,Casa,GUADALAJARA,VALLARTA PONIENTE,35000.0,,,,
Rental,Departamento,GUADALAJARA,,19000.0,,,,
Rental,Departamento,GUADALAJARA,,37000.0,,,,
Rental,Departamento,GUADALAJARA,ARCOS VALLARTA,17000.0,,,,
Rental,Departamento,ZAPOPAN,,6500.0,,,,
Rental,Departamento,ZAPOPAN,,16000.0,,,,
Rental,Casa,GUADALAJARA,AMERICANA,14000.0,,,,
Rental,Departamento,GUADALAJARA,,40000.0,,,,
Rental,Departamento,GUADALAJARA,,26495.999999999996,,,,
Rental,Casa,ZAPOPAN,VALLE REAL,100000.0,,,,
Rental,Departamento,ZAPOPAN,JARDINES UNIVERSIDAD,9500.0,,,,
Rental,Casa,ZAPOPAN,REAL VALLARTA,40000.0,,,,
Rental,Departamento,ZAPOPAN,VALLE REAL,23500.0,,,,
Rental,Departamento,GUADALAJARA,,28500.0,,,,
Rental,Departamento,ZAPOPAN,PUERTA DEL VALLE,30000.0,,,,
Rental,Departamento,GUADALAJARA,COLOMOS PROVIDENCIA,28000.0,,,,
